"Year,""Header"",""Source"",""URL"""
"2018,""ИРЧП субъектов Российской Федерации — Википедия"",""ru.wikipedia.org›wiki/ИРЧП_субъектов_Российской…"",""https://ru.wikipedia.org/wiki/%D0%98%D0%A0%D0%A7%D0%9F_%D1%81%D1%83%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D0%BE%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%A4%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%B8"""
"2018,""НВ Коломейцев: Как социальный блок Правительства РФ"",""kprf.ru›Депутатская вертикаль партии›…/activities/155645.html"",""https://kprf.ru/dep/gosduma/activities/155645.html"""
"2018,""Индекс человеческого развития"",""earchive.tpu.ru›bitstream/11683/31531…tpu-2016…V2…"",""http://earchive.tpu.ru/bitstream/11683/31531/1/conference_tpu-2016-C24_V2_p553-557.pdf"""
"2018,""Рейтинг стран по индексу ИРЧП - Белгородская Искра"",""iskra31.livejournal.com›33812.html"",""http://iskra31.livejournal.com/33812.html"""
"2018,""Индекс развития человеческого - ИА REGNUM"",""regnum.ru›news/ polit/181582.html"",""https://regnum.ru/news/%20polit/181582.html"""
"2018,""ПРОСУЩЕСТВУЕТ ЛИ РОССИЯ ДО 2018 ГОДА? - Кругозор"",""krugozormagazine.com›show/Rizhkov.954.html"",""http://www.krugozormagazine.com/show/Rizhkov.954.html"""
"2018,""Стратегия Чемпионата мира по"",""fifa.com›…document/tournament…fwc2018…russian.pdf"",""http://www.fifa.com/mm/document/tournament/competition/02/66/69/50/fwc2018_sustainabilitystrategy_ru_russian.pdf"""
"2018,""Ульяновская область : Губернатор и Правительство"",""ulgov.ru›page/index/permlink/id/11015/"",""http://ulgov.ru/page/index/permlink/id/11015/"""
"2018,""Программа развития ООН: Индекс человеческого"",""gtmarket.ru›Новости›Программа развития оон"",""http://gtmarket.ru/news/2015/12/16/7285"""
"2018,""Россия и Сибирь в процессе глобального развития"",""pandia.ru›text/77/348/71826.php"",""http://pandia.ru/text/77/348/71826.php"""
"2018,""Список стран по ВВП (номинал) на душу населения"",""ru.wikipedia.org›Список стран по ВВП (номинал) на душу населения"",""https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D1%81%D1%82%D1%80%D0%B0%D0%BD_%D0%BF%D0%BE_%D0%92%D0%92%D0%9F_(%D0%BD%D0%BE%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB)_%D0%BD%D0%B0_%D0%B4%D1%83%D1%88%D1%83_%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F"""
"2018,""При этом по размерам ВВП на душу населения Россия"",""newrezume.org›news/2017-03-05-19784"",""http://newrezume.org/news/2017-03-05-19784"""
"2018,""Сценарий развития России до конца 2018 года"",""solvaigsamara.livejournal.com›1488195.html"",""http://solvaigsamara.livejournal.com/1488195.html"""
"2018,""ВВП на душу населения (в текущих ценах, в долларах)"",""total-rating.ru›…vvp-na-dushu-naseleniya-v…cenah…"",""http://total-rating.ru/204-vvp-na-dushu-naseleniya-v-tekuschih-cenah-v-dollarah-ssha-rossii.html"""
"2018,""ВВП по ППС на душу населения - Россия"",""data.trendeconomy.ru›Россия"",""http://data.trendeconomy.ru/imf/weo/Gross_domestic_product_based_on_purchasing_power_parity_PPPPC/Russia"""
"2018,""Габон обошел Россию по ВВП на душу населения"",""by24.org›2016/03/21/gabon_defeated_russia_in_the…"",""http://by24.org/2016/03/21/gabon_defeated_russia_in_the_economy/"""
"2018,""Вся суть экономики России в одном графике Очень скоро"",""finnews.ru›cur_an.php?idnws=24555"",""http://www.finnews.ru/cur_an.php?idnws=24555"""
"2018,""Рейтинг мировых экономик до 2030 года Россия худшая"",""newsbabr.com›Москва›?IDE=134729"",""http://newsbabr.com/msk/?IDE=134729"""
"2018,""Три американских штата обогнали Россию по величине"",""rusjev.net›2016/01/17…obognali…velichine-vvp…godu/"",""http://rusjev.net/2016/01/17/tri-amerikanskih-shtata-obognali-rossiyu-po-velichine-vvp-v-2015-godu/"""
"2018,""За последнее двадцатилетие Россия прошла путь"",""profile.ru›Экономика›Журнал профиль"",""http://www.profile.ru/economics/item/112096-chudesa-v-rossii-zakonchilis"""
"2018,""Прогноз социально-экономического развития"",""economy.gov.ru›Деятельность›2016241101"",""http://economy.gov.ru/minec/activity/sections/macro/2016241101"""
"2018,""Письмо Министерства экономического развития РФ"",""garant.ru›ИПО›Документы ленты прайм›71411560"",""http://www.garant.ru/products/ipo/prime/doc/71411560/"""
"2018,""Информация Министерства экономического развития"",""garant.ru›ИПО›Документы ленты прайм›71477706"",""http://www.garant.ru/products/ipo/prime/doc/71477706/"""
"2018,""Основные показатели прогноза"",""zdamsam.ru›a19131.html"",""http://zdamsam.ru/a19131.html"""
"2018,""Прогноз социально-экономического развития РФ"",""audar-info.ru›Нормативные акты›acts/?artId=1669104…"",""http://www.audar-info.ru/docs/acts/?sectId=350081&artId=1669104"""
"2018,""Прогноз социально - экономического развития"",""asozd2.duma.gov.ru›Распития›Заседания Комитета›?OpenAgent&work/dz.nsf…"",""http://asozd2.duma.gov.ru/main.nsf/(ViewDoc)?OpenAgent&work/dz.nsf/ByID&6E4CC4CF25C632074325805A0064C0D7"""
"2018,""Сценарный прогноз социально - экономического"",""iep.ru›Экономического развития РФ"",""http://www.iep.ru/files/text/prognoz/macro/2016-18_Sept.16.pdf"""
"2018,""Прогноз социально-экономического развития"",""MirPrognozov.ru›…sotsialno…razvitiya-rossiyskoy…"",""http://www.MirPrognozov.ru/prognosis/economics/prognoz-sotsialno-ekonomicheskogo-razvitiya-rossiyskoy-federatsii/"""
"2018,""""""Прогноз социально-экономического развития"""""",""legalacts.ru›doc…sotsialno…razvitija-rossiiskoi…"",""http://legalacts.ru/doc/prognoz-sotsialno-ekonomicheskogo-razvitija-rossiiskoi-federatsii-na-2016/"""
"2018,""Прогноз социально-экономического развития России"",""tppchr.ru›index.php?Mn=49&sMn=202"",""http://www.tppchr.ru/index.php?Mn=49&sMn=202"""
"2019,""ИРЧП субъектов Российской Федерации — Википедия"",""ru.wikipedia.org›wiki/ИРЧП_субъектов_Российской…"",""https://ru.wikipedia.org/wiki/%D0%98%D0%A0%D0%A7%D0%9F_%D1%81%D1%83%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D0%BE%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%A4%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%B8"""
"2019,""Россия и Сибирь в процессе глобального развития"",""pandia.ru›text/77/348/71826.php"",""http://pandia.ru/text/77/348/71826.php"""
"2019,""ООН опубликовала традиционный """"Индекс Развития"""""",""kp.ru›daily/24009/84622/"",""http://www.kp.ru/daily/24009/84622/"""
"2019,""Индекс развития человеческого потенциала: место"",""CyberLeninka.ru›article…indeks…potentsiala…rossii…"",""http://CyberLeninka.ru/article/n/indeks-razvitiya-chelovecheskogo-potentsiala-mesto-rossii-v-sovremennom-mire"""
"2019,""Программа развития ООН: Индекс человеческого"",""gtmarket.ru›Новости›Программа развития оон"",""http://gtmarket.ru/news/2015/12/16/7285"""
"2019,""ИРЧП субъектов Российской Федерации — Википедия"",""ru.rfwiki.org›wiki/ИРЧП_субъектов_Российской…"",""http://ru.rfwiki.org/wiki/%D0%98%D0%A0%D0%A7%D0%9F_%D1%81%D1%83%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D0%BE%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%A4%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%B8"""
"2019,""О внесении изменений в план мероприятий"",""docs.cntd.ru›document/444789878"",""http://docs.cntd.ru/document/444789878"""
"2019,""Индекс развития человеческого потенциала в РФ"",""newsland.com›…indeks…chelovecheskogo-potentsiala…"",""https://newsland.com/user/4297675234/content/indeks-razvitiia-chelovecheskogo-potentsiala-v-rf/4064651"""
"2019,""ВестиRu: Россия в цифрах Индекс развития"",""vesti.ru›Видео›show/vid/520470"",""http://www.vesti.ru/videos/show/vid/520470/"""
"2019,""Расчет и анализ ИРЧП для Российской Федерации"",""KazEdu.kz›referat/119633/5"",""https://www.KazEdu.kz/referat/119633/5"""
"2019,""Размер российского ВВП на душу населения по уровню"",""finmarket.ru›Новости›339074"",""http://www.finmarket.ru/news/339074"""
"2019,""ВВП по ППС на душу населения - Россия"",""data.trendeconomy.ru›Россия"",""http://data.trendeconomy.ru/imf/weo/Gross_domestic_product_based_on_purchasing_power_parity_PPPPC/Russia"""
"2019,""Прогноз стабильный: кризис отпускает россиян"",""ria.ru›Экономика›Видео›1477349251.html"",""https://ria.ru/economy/20160919/1477349251.html"""
"2019,""Список стран по ВВП (ППС) на душу населения"",""ru.wikipedia.org›Список стран по ВВП (ППС) на душу населения"",""https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D1%81%D1%82%D1%80%D0%B0%D0%BD_%D0%BF%D0%BE_%D0%92%D0%92%D0%9F_(%D0%9F%D0%9F%D0%A1)_%D0%BD%D0%B0_%D0%B4%D1%83%D1%88%D1%83_%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F"""
"2019,""S&P предсказало падение ВВП России на 1,4 процента"",""lenta.ru›news/2016/03/18/gdpforecast/"",""https://lenta.ru/news/2016/03/18/gdpforecast/"""
"2019,""Правительство ухудшило прогноз для бюджета"",""gazeta.ru›Бизнес›2016/09/21/10208285.shtml"",""https://www.gazeta.ru/business/2016/09/21/10208285.shtml"""
"2019,""ВВП на душу населения в год по республикам"",""voprosik.net›kto-bolshe-vsex-poteryal-ot-padeniya…"",""http://voprosik.net/kto-bolshe-vsex-poteryal-ot-padeniya-sssr/"""
"2019,""ВВП на душу населения (в текущих ценах, в долларах)"",""total-rating.ru›…vvp-na-dushu-naseleniya-v…cenah…"",""http://total-rating.ru/204-vvp-na-dushu-naseleniya-v-tekuschih-cenah-v-dollarah-ssha-rossii.html"""
"2019,""ВВП на душу населения в год"",""nk.org.ua›Геополитика›kto-kogo-kormil-v-sssr-i…"",""http://nk.org.ua/geopolitika/kto-kogo-kormil-v-sssr-i-kto-bolshe-proigral-ot-ego-razvala-67790"""
"2019,""Экономика Украины топчется в болоте Эксперт о ВВП"",""uainfo.org›Новости›…-v-bolote-ekspert-o-vvp…"",""http://uainfo.org/blognews/1481458061-ekonomika-ukrainy-topchetsya-v-bolote-ekspert-o-vvp-i-kurse.html"""
"2019,""Информация Министерства экономического развития"",""garant.ru›ИПО›Документы ленты прайм›71477706"",""http://www.garant.ru/products/ipo/prime/doc/71477706/"""
"2019,""Прогноз социально-экономического развития"",""economy.gov.ru›Деятельность›2016241101"",""http://economy.gov.ru/minec/activity/sections/macro/2016241101"""
"2019,""Прогноз социально - экономического развития"",""asozd2.duma.gov.ru›Распития›Заседания Комитета›?OpenAgent&work/dz.nsf…"",""http://asozd2.duma.gov.ru/main.nsf/(ViewDoc)?OpenAgent&work/dz.nsf/ByID&6E4CC4CF25C632074325805A0064C0D7"""
"2019,""Сопроводительное письмо к индексам-дефляторам"",""ocenchik.ru›docsi/2799-pismo-indeksam…do2019…"",""http://www.ocenchik.ru/docsi/2799-pismo-indeksam-deflyatoram-do2019-minekonomrazvitiya2016.html"""
"2019,""О прогнозе социально-экономического"",""docs.cntd.ru›document/453147526"",""http://docs.cntd.ru/document/453147526"""
